model,status,dataset,seq_len,horizon,normalize,cnn_variant,rnn_type,attn_variant,pos,ca,direction,heads,wav_on,wavelet_on,wavelet_base,wavelet_level,wavelet_mode,wavelet_take,arch,params,checkpoint,mse,mae,rmse,mape,r2,rev_on,dec_on
ctrl_attn-local__standard-local-lstm-posnone-caoff_patched__f03fedcc,ok,electricity_removed,64,3,standard,standard,lstm,local,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+local,1072197,./getmodel/bestmodel/ctrl_attn-local__standard-local-lstm-posnone-caoff_patched__f03fedcc.pt,0.16504701972007751,0.2798064053058624,0.40625979338359036,2.5058748722076416,0.8347147703170776,False,False
ctrl_ca-eca__depthwise-standard-lstm-posnone-caeca_patched__36924afc,ok,electricity_removed,64,3,standard,depthwise,lstm,standard,none,eca,bi,4,False,False,db4,3,symmetric,all,depthwise+lstm+standard,1029073,./getmodel/bestmodel/ctrl_ca-eca__depthwise-standard-lstm-posnone-caeca_patched__36924afc.pt,0.1650884598493576,0.27815157175064087,0.406310792189129,2.5576889514923096,0.8346732258796692,False,False
ctrl_ca-off__depthwise-standard-lstm-posnone-caoff_patched__90deee5d,ok,electricity_removed,64,3,standard,depthwise,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,depthwise+lstm+standard,1029067,./getmodel/bestmodel/ctrl_ca-off__depthwise-standard-lstm-posnone-caoff_patched__90deee5d.pt,0.1668073683977127,0.2806008756160736,0.4084205778333319,2.5100905895233154,0.8329518437385559,False,False
ctrl_cnn-depthwise__depthwise-standard-lstm-posnone-caoff_patched__90deee5d,ok,electricity_removed,64,3,standard,depthwise,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,depthwise+lstm+standard,1029067,./getmodel/bestmodel/ctrl_cnn-depthwise__depthwise-standard-lstm-posnone-caoff_patched__90deee5d.pt,0.1668073683977127,0.2806008756160736,0.4084205778333319,2.5100905895233154,0.8329518437385559,False,False
ctrl_pos-absolute__standard-standard-lstm-posabsolute-caoff_patched__85f12211,ok,electricity_removed,64,3,standard,standard,lstm,standard,absolute,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_pos-absolute__standard-standard-lstm-posabsolute-caoff_patched__85f12211.pt,0.1675577014684677,0.2810526490211487,0.4093381260870623,2.5065994262695312,0.8322004079818726,False,False
ctrl_pos-rope__standard-standard-lstm-posrope-caoff_patched__daa26411,ok,electricity_removed,64,3,standard,standard,lstm,standard,rope,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_pos-rope__standard-standard-lstm-posrope-caoff_patched__daa26411.pt,0.16766858100891113,0.2809298038482666,0.40947354128064384,2.49442458152771,0.8320894241333008,False,False
ctrl_cnn-inception__inception-standard-lstm-posnone-caoff_patched__6f03e296,ok,electricity_removed,64,3,standard,inception,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,inception+lstm+standard,1077309,./getmodel/bestmodel/ctrl_cnn-inception__inception-standard-lstm-posnone-caoff_patched__6f03e296.pt,0.1683645248413086,0.28223636746406555,0.4103224644609512,2.583181858062744,0.8313924670219421,False,False
ctrl_attn-multiscale__standard-multiscale-lstm-posnone-caoff_patched__2d937ccc,ok,electricity_removed,64,3,standard,standard,lstm,multiscale,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+multiscale,1335365,./getmodel/bestmodel/ctrl_attn-multiscale__standard-multiscale-lstm-posnone-caoff_patched__2d937ccc.pt,0.16862374544143677,0.2818063199520111,0.410638217219777,2.454819440841675,0.8311328291893005,False,False
ctrl_wavelet-off__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1072197,./getmodel/bestmodel/ctrl_wavelet-off__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,0.16869084537029266,0.28275397419929504,0.41071991109549666,2.503598690032959,0.8310656547546387,False,False
ctrl_wavelet-haar-L2-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,2,symmetric,all,standard+lstm+standard,1423371,./getmodel/bestmodel/ctrl_wavelet-haar-L2-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,0.1686917096376419,0.23756127059459686,0.4107209632312939,40896.72265625,0.84173184633255,False,False
