f0,f1,f2,f3,target
0.05566658,-0.16703331,-0.14598036,-0.046490327,0.41753507
0.0512226,-0.17574388,-0.16022289,-0.04204383,0.44643453
0.008335371,-0.11697986,-0.13514513,-0.009240251,0.34238836
0.06494179,-0.08939015,-0.22388138,0.03311059,0.29746434
0.050374508,-0.07274373,-0.24149214,-0.021119136,0.3342641
0.030003577,-0.06512763,-0.27903253,-0.053125277,0.19602528
-0.010005897,0.08771185,-0.30886963,0.011337826,0.27879164
-0.008897832,0.099460825,-0.25453085,-0.006368638,0.24549928
-0.019035077,0.20947608,-0.26709244,0.03986524,0.40719765
-0.0891809,0.36274898,-0.31101403,0.048505947,0.27778482
-0.0404593,0.4243331,-0.33505982,0.028088823,0.38315696
-0.114797615,0.61023057,-0.31642103,0.17805633,0.40469524
-0.028526157,0.4895888,-0.39974433,-0.08743597,0.19966246
-0.07976439,0.6088306,-0.33542404,-0.011595197,0.23741364
-0.06825621,0.6415955,-0.52930415,-0.19855668,0.11362779
-0.2006258,0.72936237,-0.3799428,-0.12939146,0.22367051
-0.13216367,0.6617285,-0.48227024,-0.3243388,0.1319961
0.009246399,0.49348804,-0.4553844,-0.35216612,0.076504275
-0.024435464,0.4473271,-0.5190156,-0.49537513,0.06902316
-0.027267687,0.5120948,-0.5578526,-0.53619224,0.008395362
0.07037221,0.36339536,-0.54368114,-0.6005579,-0.03936241
0.150647,0.26558536,-0.7116519,-0.82600254,-0.22547647
0.16969535,0.1626516,-0.7198348,-0.9624599,-0.24774943
0.1824248,0.17119354,-0.7135163,-0.91685313,-0.27393323
0.28509828,0.13621378,-0.7132616,-0.8645517,-0.2258254
0.29629952,0.00849125,-0.90970707,-1.1199054,-0.4249122
0.30480552,-0.017607354,-0.8174577,-1.0646737,-0.35610843
0.3947358,-0.1322198,-0.7727104,-0.9922117,-0.25126636
0.27596018,-0.14305443,-0.81102335,-1.0001714,-0.39230338
0.1412236,-0.028855659,-0.63521403,-0.83636796,-0.19712232
0.27034345,-0.1399642,-0.72970104,-0.8057837,-0.305029
0.11424345,-0.027512744,-0.4672367,-0.46801406,-0.100065574
0.13221022,-0.005878332,-0.45093277,-0.30793035,-0.060978148
-0.0063775578,0.18131106,-0.37017444,-0.011081134,0.048483912
-0.12022525,0.19977827,-0.24963665,0.25686002,0.18026325
-0.1817692,0.34825587,-0.16731334,0.43060598,0.20217127
-0.29729897,0.39823627,-0.03200619,0.66377777,0.2963758
-0.35502568,0.49847877,0.027209356,0.7988825,0.4591455
-0.46465656,0.4371809,0.20163272,1.0002788,0.6014399
-0.5543327,0.82991654,0.36982942,1.5159657,0.81951994
-0.7519766,0.8736247,0.45893666,1.5880233,0.84038275
-0.8123307,0.88374346,0.47440493,1.707673,0.8876949
-0.7962007,0.86531496,0.58006865,1.883883,0.9748091
-0.8822592,0.88878524,0.7443935,1.9784558,1.0877306
-0.8596238,0.9402601,0.70667094,2.0795355,0.9909925
-0.8645514,0.74741864,0.7505543,2.0010295,0.9616556
-0.80189794,0.73262745,0.8151914,2.1116607,1.0491879
-0.6937495,0.6967665,0.68144304,1.9344404,0.9321127
-0.69522315,0.4401264,0.68241066,1.7991227,0.8585763
-0.6074837,0.31360358,0.5573552,1.4456863,0.60313606
-0.46579906,0.19018057,0.63671285,1.4448262,0.81846684
