model,status,mse,mae,rmse,mape,r2,params,checkpoint,cnn_variant,rnn_type,attn_variant,dataset,arch
tlm,ok,0.1158914491534233,0.2307871282100677,0.3404283318900225,2.171350479125977,0.883941272753561,5226123,../model/tlm.pt,tcn,lstm,multiscale,elec,TCN+LSTM+多尺度注意力
tgm,ok,0.1230759546160698,0.2390750795602798,0.3508218274510151,2.2489125728607178,0.8767463989216979,5226123,../model/tgm.pt,tcn,gru,multiscale,elec,TCN+GRU+多尺度注意力
tls,ok,0.127282440662384,0.2430785894393921,0.3567666473514362,2.184484004974365,0.8725338451738465,4175499,../model/tls.pt,tcn,lstm,standard,elec,TCN+LSTM+标准注意力
dgm,ok,0.128805324435234,0.2425765544176101,0.3588945868012417,2.221557140350342,0.8710087533574077,4776236,../model/dgm.pt,dilated,gru,multiscale,elec,空洞CNN+GRU+多尺度注意力
sgm,ok,0.1350161582231521,0.248887225985527,0.3674454493161565,2.309082269668579,0.8647889585322307,4774469,../model/sgm.pt,standard,gru,multiscale,elec,标准注意力+GRU+多尺度注意力
tlm,ok,0.1949155032634735,0.2131337076425552,0.441492359235665,3.897591352462769,0.805341008732487,5781730,../model_tr/tlm.pt,tcn,lstm,multiscale,traffic,TCN+LSTM+多尺度注意力
sgm,ok,0.1993680745363235,0.216314822435379,0.4465065223894535,3.962860107421875,0.8008942926533467,5278140,../model_tr/sgm.pt,standard,gru,multiscale,traffic,标准注意力+GRU+多尺度注意力
dgm,ok,0.2013390511274337,0.2175425589084625,0.4487082026522735,3.956351757049561,0.7989259190287932,5274497,../model_tr/dgm.pt,dilated,gru,multiscale,traffic,空洞CNN+GRU+多尺度注意力
tgm,ok,0.2029081583023071,0.2219947576522827,0.4504532809318932,4.139718055725098,0.7973588696616007,5781730,../model_tr/tgm.pt,tcn,gru,multiscale,traffic,TCN+GRU+多尺度注意力
tls,ok,0.206118494272232,0.2223973423242569,0.4540027469875398,4.017626762390137,0.7941527610304623,4731106,../model_tr/tls.pt,tcn,lstm,standard,traffic,TCN+LSTM+标准注意力
tgm,ok,0.1715239733457565,0.1292278915643692,0.4141545283414833,2.573904037475586,0.8284063846113757,4918023,../model_we/tgm.pt,tcn,gru,multiscale,weather,TCN+GRU+多尺度注意力
tlm,ok,0.1785019040107727,0.136271670460701,0.4224948567861776,2.456464529037476,0.8214256108127578,4918023,../model_we/tlm.pt,tcn,lstm,multiscale,weather,TCN+LSTM+多尺度注意力
dgm,ok,0.1823758631944656,0.1435093134641647,0.4270548714093607,3.4408092498779297,0.8175500892823676,4499936,../model_we/dgm.pt,dilated,gru,multiscale,weather,空洞CNN+GRU+多尺度注意力
sgm,ok,0.1852231323719024,0.1408621817827224,0.4303755713001174,2.761003017425537,0.814701656292946,4495169,../model_we/sgm.pt,standard,gru,multiscale,weather,标准注意力+GRU+多尺度注意力
tls,ok,0.2001358866691589,0.1566964536905288,0.4473654956175755,3.3056743144989014,0.7997828492016187,3867399,../model_we/tls.pt,tcn,lstm,standard,weather,TCN+LSTM+标准注意力
